,user
0,151603712
1,187131847
2,59945701
3,53875128
4,140954425
5,26122540
6,176410694
7,197278511
8,150128162
9,197455089
10,63024728
11,297811211
12,76933274
13,218323237
14,302186258
15,126340495
16,194895541
17,170625356
18,167362888
19,208649703
20,225987202
21,195071563
22,254906420
23,247160953
24,308653033
25,144138643
26,97298878
27,173909336
28,198572546
29,219509107
30,202906503
31,92107940
32,251431515
33,233558010
34,99189757
35,30695285
36,259648553
37,201069271
38,48845802
39,226212066
40,221430493
41,62923086
42,250006052
43,65117175
44,227944885
45,144004384
46,236557903
47,11373749
48,140293612
49,187851224
50,192921532
51,54103616
52,222277839
53,298547051
54,264253640
55,125718844
56,230599183
57,280061602
58,38763767
59,164543231
60,163617342
61,295931968
62,165034415
63,298389371
64,27543430
65,126640783
66,119410870
67,243440565
68,157694162
69,154868247
70,263856756
71,124395695
72,126656629
73,197821092
74,294797577
75,228507886
76,272425320
77,49769103
78,202742019
79,239397807
80,300601393
81,109278470
82,197509386
83,92842632
84,103973922
85,5270060
86,171847029
87,111479516
88,64350600
89,117217039
90,93085014
91,180331040
92,180596443
93,303032390
94,150103338
95,92173524
96,151229648
97,253773352
98,250870371
99,175143479
100,56038151
101,124884511
102,148928721
103,150965343
104,46759859
105,268158408
106,257377008
107,133262375
108,202092286
109,136554467
110,185040259
111,287943546
112,136246724
113,189191657
114,57234698
115,198201128
116,55446861
117,2428602
118,104077418
119,252438345
120,164927653
121,272820556
122,9544834
123,287061478
124,32592631
125,57103808
126,215578265
127,197172884
128,242349023
129,99609673
130,63276972
131,183005527
132,92342574
133,255168531
134,87445402
135,248613483
136,107948398
137,84668956
138,226130045
139,145904806
140,164591420
141,171982044
142,187533357
143,94088853
144,48058475
145,170095814
146,212751581
147,301883131
148,31887051
149,116085629
150,106238372
151,202395275
152,248444377
153,25941262
154,148510973
155,64369759
156,289893544
157,223471406
158,210778610
159,125699277
160,173857208
161,9823354
162,165269326
163,226033921
164,232064401
165,141593973
166,174965596
167,100519466
168,107886872
169,153415214
170,180789959
171,236541446
172,155997063
173,168031436
174,169358223
175,181269219
176,162543176
177,95898619
178,185685666
179,308280913
180,69857045
181,215492239
182,16167221
183,19586574
184,200759485
185,82792088
186,153290864
187,213909719
188,219446813
189,41883322
190,260269555
191,186333740
192,237047627
193,142004534
194,99017037
195,170491009
196,195459356
197,30280104
198,227153589
199,64365339
200,103669953
201,299670894
202,237275985
203,178709401
204,198156213
205,190231757
206,76216184
207,96674283
208,212284721
209,20321898
210,48239695
211,207216516
212,201512283
213,293463755
214,131227694
215,201697182
216,150751526
217,241208825
218,249165768
219,124462762
220,239478937
221,83851086
222,145658798
223,210669058
224,130280718
225,81569401
226,186996848
227,108601099
228,108560573
229,89161051
230,287706524
231,65716118
232,144004666
233,58237510
234,113308351
235,303326013
236,154210162
237,146463817
238,303693006
239,98152188
240,231450817
241,162649407
242,229467150
243,246892835
244,288856904
245,75228114
246,36553207
247,70165453
248,143693450
249,139955299
250,136021775
251,39446138
252,211404615
253,215540943
254,81743539
255,128790593
256,198346312
257,155182551
258,169218314
259,252016836
260,124777563
261,217268143
262,88919723
263,26802825
264,27117407
265,78332414
266,291151096
267,130201800
268,88585138
269,154671192
270,139352395
271,143459727
272,42681063
273,169337011
274,260118401
275,201445671
276,24932641
277,193987636
278,242549338
279,209729995
280,71082079
281,212521878
282,166705920
283,228302915
284,64315060
285,246056879
286,154406815
287,141037251
288,74154832
289,298979438
290,149318464
291,29835809
292,174813416
293,42928788
294,269437356
295,61444633
296,298519243
297,25096601
298,120377800
299,233160273
300,33591806
301,157397663
302,234024191
303,88735140
304,115003799
305,57866383
306,168845004
307,144347801
308,112590296
309,209193781
310,42061089
311,158267574
312,307239317
313,62654923
314,56256991
315,86338111
316,67923337
317,149501464
318,74232403
319,305808638
320,83978676
321,82235763
322,146682210
323,300645203
324,211925330
325,178717672
326,218354629
327,288854118
328,189822258
329,194791978
330,202949952
331,130954987
332,108877388
333,214366018
334,72576293
335,179686274
336,227083521
337,236775073
338,286701848
339,253983004
340,162582760
341,112994491
342,85614332
343,211760999
344,216653925
345,124451578
346,58152057
347,111316830
348,185283602
349,92914917
350,135599605
351,158173228
352,147563118
353,138847348
354,77870593
355,161383225
356,60760816
357,253006481
358,72842694
359,290367158
360,42223842
361,144508237
362,17649444
363,214388411
364,141161011
365,54916182
366,168041218
367,155881626
368,23663429
369,201176964
370,179481154
371,246753573
372,115396529
373,255957600
374,276118496
375,43804972
376,216115170
377,182579698
378,242412972
379,215008934
380,161220142
381,20200395
382,32498610
383,292731142
384,43321203
385,221952355
386,4834220
387,189623540
388,208071792
389,65229865
390,53079481
391,146809006
392,240524467
393,183103599
394,181064527
395,65958466
396,77905942
397,181321171
398,172348107
399,215748805
400,129520075
401,276055488
402,230952269
403,248255491
404,165216297
405,234292025
406,226923581
407,134590374
408,43908860
409,203238341
410,228343275
411,198249024
412,248518501
413,308692673
414,105796956
415,186055359
416,87821312
417,85714521
418,170375966
419,130950166
420,194545521
421,109458201
422,23718710
423,126602285
424,252696188
425,95440541
426,49767455
427,304222866
428,303269114
429,238411403
430,97238489
431,58117481
432,61676491
433,223991842
434,166753156
435,135879753
436,101369449
437,176033341
438,103363050
439,171512034
440,267438860
441,68224834
442,110928152
443,155613860
444,157469247
445,80119032
446,128831281
447,176743370
448,122803519
449,187498422
450,34177747
451,138929901
452,170760116
453,124712421
454,110879737
455,187678142
456,175033323
457,58192081
458,175945017
459,44866715
460,176750719
461,86686260
462,57088976
463,23883383
464,184794116
465,239794225
466,232207754
467,47519224
468,235194002
469,141677474
470,161816929
471,304848876
472,198893163
473,111343998
474,49350285
475,236950689
476,31727716
477,285926554
478,142001340
479,60217594
480,291447290
481,14165501
482,169414467
483,148976064
484,113045977
485,196223620
486,197090954
487,85643975
488,242013874
489,126158311
490,71687719
491,157414627
492,242781058
493,303525289
494,282307340
495,50246981
496,88296152
497,264929688
498,230633575
499,127706455
500,117129725
501,42005897
502,187283749
503,201990605
504,87879009
505,283853460
506,42099265
507,300534109
508,4064412
509,183382406
510,242242432
511,91800733
512,93812486
513,191480137
514,293691139
515,293269191
516,227777777
517,145844862
518,205634951
519,216040174
520,172318605
521,106760673
522,62539628
523,251928689
524,149438233
525,180955576
526,87162199
527,167874227
528,286095646
529,198417932
530,234838943
531,79407831
532,156312176
533,81139130
534,167017825
535,213406926
536,259791209
537,78799565
538,309824202
539,138412880
540,228170321
541,36154073
542,210744685
543,183300822
544,229791471
545,262861632
546,242896221
547,170473291
548,162999869
549,298913000
550,104055167
551,170527593
552,178893007
553,159365538
554,135540095
555,201743677
556,109201849
557,123245831
558,237468202
559,214077903
560,259268105
561,96771844
562,196119233
563,149291366
564,273544140
565,1950243
566,244878837
567,110095045
568,294281624
569,229095219
570,62985928
571,182220992
572,266888336
573,278567826
574,142183287
575,43913966
576,209127185
577,153164320
578,259330363
579,121280370
580,149122593
581,286545176
582,255467165
583,219466905
584,69132252
585,143734410
586,141414004
587,47409520
588,131730206
589,126098408
590,163137081
591,127813787
592,120725727
593,151397156
594,198105109
595,118894547
596,283975164
597,117531196
598,49110638
599,190788774
600,193129684
601,108755905
602,202340310
603,144737312
604,171874166
605,87071236
606,178915960
607,62317148
608,204459221
609,37708732
610,103620349
611,216921535
