,name,genres,popularity,rating,themes
0,The Elder Scrolls V Skyrim,"[12, 13, 15, 31, 32]",97.6666666667,80.0,[1]
1,Fallout 4,"[5, 12]",32.0,82.4290463643,"[1, 18, 33, 38]"
2,Spore,[5],1.33333333333,-1.0,-1
3,Fallout New Vegas,"[5, 12, 14]",17.3333333333,88.0647166484,"[1, 17, 18, 21, 22]"
4,Left 4 Dead 2,[5],9.0,82.2718979585,"[1, 19, 21]"
5,HuniePop,"[9, 12, 13, 15, 32]",36.0,83.1865542844,"[17, 27, 42]"
6,Path of Exile,"[12, 25, 31, 32]",17.6666666667,83.2517133154,"[1, 17, 19]"
7,Poly Bridge,"[9, 13, 32]",5.0,69.6836842766,[33]
8,Left 4 Dead,[5],7.66666666667,81.2017797421,"[1, 19, 21]"
9,Team Fortress 2,[5],8.0,83.8994305795,"[1, 27]"
10,Tomb Raider,"[8, 31]",2.66666666667,-1.0,-1
11,The Banner Saga,"[12, 15, 24, 32]",6.33333333333,88.8608333112,"[17, 22]"
12,Dead Island Epidemic,"[5, 11, 12, 15]",1.33333333333,40.0678204378,"[1, 19]"
13,BioShock Infinite,"[5, 31]",17.6666666667,85.4478389591,"[1, 17, 18, 19, 22, 31]"
14,Dragon Age Origins - Ultimate Edition,"[12, 15, 31]",3.0,96.9657724329,"[1, 17, 38]"
15,Fallout 3 - Game of the Year Edition,"[5, 12, 14, 31]",3.0,91.9618207705,"[1, 17, 18, 22, 33]"
16,SEGA Genesis & Mega Drive Classics,[33],5.0,-1.0,-1
17,Grand Theft Auto IV,"[5, 10, 14, 31]",15.3333333333,82.9250391204,"[1, 38]"
18,Realm of the Mad God,"[12, 32]",1.33333333333,79.8972558005,"[1, 17, 22]"
19,Marvel Heroes 2015,[12],2.0,79.8256363064,"[1, 27, 38]"
20,Eldevin,"[12, 32]",1.33333333333,50.0,-1
21,Dota 2,"[15, 24]",13.0,80.8458218714,"[1, 17, 39]"
22,BioShock,"[5, 12, 31]",21.0,88.2143690215,"[1, 17, 18, 19, 22]"
23,Robocraft,"[4, 5, 12, 13, 15, 24, 32]",2.66666666667,69.9808780215,"[1, 18, 33, 39]"
24,Garry's Mod,"[13, 32]",41.0,77.7506935192,[33]
25,Jazzpunk,"[5, 9, 14, 31, 32]",1.33333333333,67.1039160106,"[1, 27]"
26,Ultra Street Fighter IV,"[4, 33]",3.0,78.6349544083,[1]
27,FINAL FANTASY XIII,"[12, 31]",7.66666666667,71.62702935,"[1, 17]"
28,Sid Meier's Civilization V,"[13, 15, 16]",7.66666666667,86.2457237765,"[17, 18, 22, 39, 41]"
29,L.A. Noire,"[5, 14, 15, 31]",13.3333333333,84.7746925424,"[1, 20, 22, 33, 38, 39]"
30,Company of Heroes Tales of Valor,"[11, 15]",1.66666666667,87.4719802452,"[1, 22, 39]"
31,7 Days to Die,"[5, 12, 13, 15, 31, 32]",13.0,65.3919179923,"[1, 19, 21, 33]"
32,Divekick,"[4, 32]",1.33333333333,64.0500079111,"[1, 27]"
33,FINAL FANTASY VII,"[12, 31]",16.3333333333,90.3416352146,"[17, 18]"
34,Orcs Must Die! 2,"[5, 8, 15, 32]",1.33333333333,77.1900076046,"[1, 17]"
35,Killing Floor,[5],4.0,74.7558672315,"[1, 18, 19, 21]"
