,userIndex,gameID,hours
0,0.0,0.0,273.0
1,0.0,1.0,87.0
2,0.0,2.0,14.9
3,0.0,3.0,12.1
4,0.0,4.0,8.9
5,0.0,5.0,8.5
6,0.0,6.0,8.1
7,0.0,7.0,7.5
8,0.0,8.0,3.3
9,0.0,9.0,2.8
10,0.0,10.0,2.5
11,0.0,11.0,2.0
12,0.0,12.0,1.4
13,0.0,13.0,1.3
14,0.0,14.0,1.3
15,0.0,15.0,0.8
16,0.0,16.0,0.8
17,0.0,17.0,0.6
18,0.0,18.0,0.5
19,0.0,19.0,0.5
20,0.0,20.0,0.5
21,0.0,21.0,0.5
22,0.0,22.0,0.5
23,0.0,23.0,0.4
24,0.0,24.0,0.1
25,0.0,25.0,0.1
26,1.0,21.0,2.3
27,2.0,26.0,238.0
28,2.0,27.0,84.0
29,2.0,0.0,58.0
30,2.0,28.0,22.0
31,2.0,29.0,13.8
32,2.0,30.0,10.2
33,2.0,31.0,7.8
34,2.0,32.0,7.0
35,2.0,33.0,5.2
36,2.0,34.0,4.8
37,2.0,35.0,3.4
38,2.0,36.0,3.2
39,2.0,37.0,2.8
40,2.0,38.0,2.6
41,2.0,39.0,2.3
42,2.0,40.0,0.7
43,2.0,41.0,0.6
44,2.0,42.0,0.5
45,2.0,43.0,0.4
46,2.0,44.0,0.3
47,2.0,45.0,0.1
48,2.0,9.0,0.1
49,3.0,46.0,86.0
50,3.0,47.0,72.0
51,3.0,4.0,71.0
52,3.0,48.0,59.0
53,3.0,49.0,54.0
54,3.0,50.0,50.0
55,3.0,51.0,35.0
56,3.0,52.0,35.0
57,3.0,53.0,35.0
58,3.0,54.0,34.0
59,3.0,44.0,33.0
60,3.0,55.0,32.0
61,3.0,56.0,25.0
62,3.0,57.0,24.0
63,3.0,58.0,23.0
64,3.0,59.0,23.0
65,3.0,60.0,23.0
66,3.0,61.0,22.0
67,3.0,62.0,21.0
68,3.0,63.0,21.0
69,3.0,64.0,19.6
70,3.0,65.0,18.5
71,3.0,66.0,18.3
72,3.0,67.0,16.9
73,3.0,68.0,14.3
74,3.0,69.0,13.7
75,3.0,70.0,13.4
76,3.0,71.0,12.5
77,3.0,72.0,12.2
78,3.0,73.0,11.5
79,3.0,74.0,11.2
80,3.0,75.0,11.1
81,3.0,76.0,11.0
82,3.0,77.0,10.2
83,3.0,78.0,10.1
84,3.0,79.0,9.8
85,3.0,80.0,9.8
86,3.0,81.0,9.7
87,3.0,82.0,9.7
88,3.0,37.0,9.6
89,3.0,83.0,9.0
90,3.0,84.0,8.9
91,3.0,85.0,8.6
92,3.0,86.0,8.4
93,3.0,87.0,8.3
94,3.0,88.0,7.8
95,3.0,89.0,7.6
96,3.0,3.0,7.5
97,3.0,90.0,7.3
98,3.0,91.0,7.2
99,3.0,92.0,7.0
100,3.0,93.0,6.7
101,3.0,94.0,6.6
102,3.0,95.0,6.4
103,3.0,96.0,6.4
104,3.0,97.0,6.2
105,3.0,98.0,6.0
106,3.0,28.0,5.9
107,3.0,99.0,5.7
108,3.0,100.0,5.6
109,3.0,101.0,5.6
110,3.0,102.0,5.5
111,3.0,103.0,5.5
112,3.0,104.0,5.5
113,3.0,105.0,5.2
114,3.0,106.0,4.9
115,3.0,107.0,4.4
116,3.0,108.0,4.3
117,3.0,109.0,4.2
118,3.0,110.0,4.0
119,3.0,111.0,4.0
120,3.0,112.0,4.0
121,3.0,113.0,3.7
122,3.0,114.0,3.4
123,3.0,115.0,3.3
124,3.0,116.0,3.2
125,3.0,117.0,3.0
126,3.0,118.0,2.9
127,3.0,119.0,2.8
128,3.0,120.0,2.8
129,3.0,121.0,2.8
130,3.0,122.0,2.7
131,3.0,123.0,2.6
132,3.0,124.0,2.5
133,3.0,125.0,2.5
134,3.0,126.0,2.4
135,3.0,127.0,2.2
136,3.0,128.0,2.2
137,3.0,129.0,2.0
138,3.0,130.0,1.9
139,3.0,131.0,1.9
140,3.0,132.0,1.9
141,3.0,133.0,1.8
142,3.0,134.0,1.8
143,3.0,135.0,1.8
144,3.0,136.0,1.7
145,3.0,8.0,1.7
146,3.0,137.0,1.6
147,3.0,17.0,1.5
148,3.0,138.0,1.4
149,3.0,139.0,1.4
150,3.0,140.0,1.3
151,3.0,141.0,1.3
152,3.0,29.0,1.3
153,3.0,142.0,1.1
154,3.0,143.0,1.1
155,3.0,144.0,1.1
156,3.0,145.0,1.1
157,3.0,146.0,1.0
158,3.0,147.0,1.0
159,3.0,148.0,0.9
160,3.0,149.0,0.9
161,3.0,150.0,0.9
162,3.0,151.0,0.9
163,3.0,152.0,0.9
164,3.0,153.0,0.8
165,3.0,154.0,0.8
166,3.0,155.0,0.8
167,3.0,156.0,0.8
168,3.0,157.0,0.8
169,3.0,22.0,0.8
170,3.0,158.0,0.8
171,3.0,159.0,0.8
172,3.0,160.0,0.7
173,3.0,161.0,0.7
174,3.0,162.0,0.7
175,3.0,163.0,0.7
176,3.0,164.0,0.6
177,3.0,165.0,0.6
178,3.0,166.0,0.6
179,3.0,167.0,0.6
180,3.0,168.0,0.6
181,3.0,169.0,0.6
182,3.0,170.0,0.6
183,3.0,33.0,0.6
184,3.0,171.0,0.5
185,3.0,172.0,0.5
186,3.0,173.0,0.5
187,3.0,174.0,0.5
188,3.0,175.0,0.5
189,3.0,176.0,0.5
190,3.0,2.0,0.5
191,3.0,177.0,0.5
192,3.0,178.0,0.5
193,3.0,179.0,0.5
194,3.0,180.0,0.5
195,3.0,181.0,0.5
196,3.0,182.0,0.4
197,3.0,183.0,0.4
198,3.0,184.0,0.4
199,3.0,185.0,0.4
200,3.0,186.0,0.4
201,3.0,187.0,0.4
202,3.0,188.0,0.4
203,3.0,189.0,0.4
204,3.0,190.0,0.4
205,3.0,191.0,0.4
206,3.0,192.0,0.4
207,3.0,193.0,0.4
208,3.0,194.0,0.4
209,3.0,195.0,0.4
210,3.0,196.0,0.3
211,3.0,197.0,0.3
212,3.0,198.0,0.3
213,3.0,199.0,0.3
214,3.0,200.0,0.3
215,3.0,201.0,0.3
216,3.0,202.0,0.3
217,3.0,203.0,0.3
218,3.0,204.0,0.3
219,3.0,205.0,0.3
220,3.0,206.0,0.2
221,3.0,207.0,0.2
222,3.0,208.0,0.2
223,3.0,209.0,0.2
224,3.0,210.0,0.2
225,3.0,211.0,0.2
226,3.0,212.0,0.2
227,3.0,213.0,0.2
228,3.0,214.0,0.2
229,3.0,215.0,0.2
230,3.0,216.0,0.2
231,3.0,217.0,0.2
232,3.0,218.0,0.2
233,3.0,219.0,0.2
234,3.0,220.0,0.2
235,3.0,221.0,0.2
236,3.0,222.0,0.2
237,3.0,223.0,0.1
238,3.0,224.0,0.1
239,3.0,43.0,0.1
240,3.0,225.0,0.1
241,3.0,226.0,0.1
242,3.0,227.0,0.1
243,3.0,228.0,0.1
244,3.0,229.0,0.1
245,3.0,230.0,0.1
246,4.0,9.0,13.0
247,5.0,231.0,92.0
248,5.0,232.0,47.0
249,5.0,233.0,22.0
250,5.0,234.0,10.3
251,5.0,235.0,6.8
252,5.0,236.0,3.1
253,5.0,237.0,1.1
254,6.0,21.0,9.1
255,7.0,21.0,0.5
256,8.0,9.0,42.0
257,9.0,21.0,3.4
258,10.0,238.0,42.0
259,11.0,239.0,29.0
260,11.0,9.0,10.1
261,11.0,240.0,5.6
262,12.0,241.0,1.0
263,13.0,21.0,14.8
264,13.0,10.0,8.8
265,13.0,242.0,0.9
266,14.0,21.0,4.2
267,15.0,21.0,1784.0
268,15.0,39.0,626.0
269,15.0,234.0,176.0
270,15.0,243.0,69.0
271,15.0,75.0,48.0
272,15.0,9.0,16.1
273,15.0,244.0,13.6
274,15.0,245.0,11.7
275,15.0,24.0,10.2
276,15.0,246.0,5.8
277,15.0,205.0,4.1
278,15.0,23.0,2.3
279,15.0,52.0,2.2
280,15.0,247.0,0.6
281,15.0,12.0,0.6
282,15.0,248.0,0.4
283,15.0,249.0,0.3
284,16.0,21.0,1.1
285,16.0,250.0,0.4
286,17.0,21.0,7.4
287,18.0,21.0,135.0
288,19.0,39.0,125.0
289,20.0,21.0,3.8
290,21.0,21.0,6.2
291,22.0,9.0,1.2
292,23.0,21.0,1.9
293,24.0,240.0,0.6
294,25.0,21.0,5.2
295,26.0,251.0,44.0
296,26.0,252.0,32.0
297,26.0,64.0,26.0
298,26.0,253.0,15.9
299,26.0,254.0,15.8
300,26.0,155.0,10.5
301,26.0,57.0,9.5
302,26.0,255.0,9.2
303,26.0,9.0,9.0
304,26.0,21.0,8.6
305,26.0,256.0,8.3
306,26.0,257.0,8.3
307,26.0,258.0,8.2
308,26.0,259.0,5.9
309,26.0,260.0,4.7
310,26.0,261.0,1.3
311,26.0,141.0,0.9
312,26.0,94.0,0.6
313,26.0,60.0,0.5
314,26.0,201.0,0.5
315,26.0,262.0,0.4
316,26.0,263.0,0.2
317,26.0,264.0,0.2
318,26.0,167.0,0.1
319,27.0,265.0,1118.0
320,27.0,266.0,17.2
321,27.0,267.0,5.9
322,28.0,21.0,12.7
323,29.0,21.0,2.1
324,30.0,21.0,10.4
325,31.0,0.0,110.0
326,31.0,31.0,99.0
327,31.0,24.0,40.0
328,31.0,93.0,30.0
329,31.0,268.0,10.0
330,31.0,116.0,8.4
331,31.0,131.0,1.9
332,31.0,269.0,0.8
333,31.0,270.0,0.5
334,32.0,21.0,0.9
335,33.0,67.0,79.0
336,33.0,271.0,34.0
337,34.0,9.0,1085.0
338,35.0,272.0,36.0
339,35.0,273.0,0.2
340,36.0,61.0,16.9
341,37.0,21.0,4.8
342,38.0,273.0,211.0
343,38.0,274.0,78.0
344,38.0,272.0,60.0
345,38.0,275.0,31.0
346,38.0,236.0,11.3
347,38.0,233.0,10.0
348,38.0,276.0,7.8
349,38.0,8.0,1.1
350,38.0,277.0,0.9
351,38.0,278.0,0.3
352,38.0,279.0,0.2
353,39.0,39.0,94.0
354,39.0,240.0,15.0
355,39.0,24.0,10.8
356,39.0,280.0,6.7
357,39.0,9.0,3.6
358,39.0,281.0,2.4
359,39.0,282.0,2.1
360,39.0,283.0,0.9
361,39.0,219.0,0.7
362,39.0,284.0,0.2
363,40.0,21.0,5.3
364,41.0,273.0,91.0
365,42.0,0.0,465.0
366,42.0,285.0,40.0
367,43.0,286.0,66.0
368,43.0,287.0,35.0
369,43.0,288.0,22.0
370,43.0,289.0,19.6
371,43.0,290.0,16.3
372,43.0,291.0,14.7
373,43.0,292.0,14.6
374,43.0,293.0,14.3
375,43.0,294.0,13.3
376,43.0,62.0,11.3
377,43.0,295.0,11.2
378,43.0,296.0,10.5
379,43.0,297.0,9.5
380,43.0,120.0,9.1
381,43.0,298.0,9.0
382,43.0,299.0,8.9
383,43.0,223.0,8.6
384,43.0,164.0,7.1
385,43.0,300.0,7.1
386,43.0,301.0,7.1
387,43.0,302.0,5.9
388,43.0,303.0,5.9
389,43.0,304.0,5.6
390,43.0,305.0,5.6
391,43.0,306.0,5.3
392,43.0,307.0,5.2
393,43.0,308.0,5.1
394,43.0,309.0,5.1
395,43.0,310.0,4.7
396,43.0,311.0,4.3
397,43.0,312.0,4.1
398,43.0,313.0,4.1
399,43.0,314.0,3.7
400,43.0,315.0,3.7
401,43.0,316.0,3.6
402,43.0,317.0,3.6
403,43.0,318.0,3.6
404,43.0,319.0,3.4
405,43.0,185.0,3.3
406,43.0,320.0,3.2
407,43.0,211.0,3.2
408,43.0,321.0,3.1
409,43.0,322.0,2.9
410,43.0,323.0,2.8
411,43.0,324.0,2.7
412,43.0,325.0,2.6
413,43.0,326.0,2.3
414,43.0,327.0,2.2
415,43.0,328.0,2.2
416,43.0,256.0,2.1
417,43.0,82.0,2.0
418,43.0,329.0,2.0
419,43.0,9.0,1.3
420,43.0,260.0,1.2
421,43.0,330.0,1.2
422,43.0,37.0,1.1
423,43.0,167.0,1.0
424,43.0,263.0,1.0
425,43.0,331.0,0.9
426,43.0,35.0,0.9
427,43.0,332.0,0.8
428,43.0,190.0,0.6
429,43.0,333.0,0.5
430,43.0,334.0,0.4
431,43.0,335.0,0.3
432,43.0,264.0,0.3
433,43.0,336.0,0.2
434,43.0,337.0,0.1
435,44.0,21.0,62.0
436,45.0,21.0,22.0
437,46.0,9.0,2.0
438,46.0,338.0,0.9
439,46.0,339.0,0.3
440,47.0,9.0,762.0
441,47.0,54.0,348.0
442,47.0,4.0,270.0
443,47.0,0.0,220.0
444,47.0,307.0,113.0
445,47.0,15.0,105.0
446,47.0,340.0,99.0
447,47.0,341.0,84.0
448,47.0,342.0,62.0
449,47.0,46.0,61.0
450,47.0,343.0,58.0
451,47.0,344.0,57.0
452,47.0,217.0,56.0
453,47.0,260.0,46.0
454,47.0,8.0,44.0
455,47.0,51.0,44.0
456,47.0,345.0,41.0
457,47.0,346.0,39.0
458,47.0,347.0,38.0
459,47.0,348.0,38.0
460,47.0,349.0,36.0
461,47.0,74.0,32.0
462,47.0,73.0,31.0
463,47.0,350.0,31.0
464,47.0,351.0,27.0
465,47.0,352.0,24.0
466,47.0,353.0,23.0
467,47.0,354.0,23.0
468,47.0,355.0,23.0
469,47.0,62.0,22.0
470,47.0,233.0,21.0
471,47.0,99.0,21.0
472,47.0,158.0,21.0
473,47.0,356.0,19.9
474,47.0,212.0,19.8
475,47.0,357.0,19.7
476,47.0,358.0,19.7
477,47.0,359.0,19.5
478,47.0,360.0,19.5
479,47.0,361.0,19.4
480,47.0,362.0,19.1
481,47.0,10.0,18.3
